time,open,high,low,close,volume,adjusted close,open_y,high_y,low_y,close_y,volume_y
12/13/2021 16:00,167.04,167.07,166.88,166.98,1519092,166.98,,,,,
12/13/2021 17:00,167,167.02,166.95,166.98,33400,166.98,,,,,
12/13/2021 18:00,167,167,166.7,166.7,1551,166.7,,,,,
12/13/2021 19:00,166.7,166.98,166.7,166.81,100225,166.81,,,,,
12/13/2021 20:00,166.8,167,166.8,167,2130,167,,,,,
12/14/2021 05:00,166.72,166.72,166.55,166.68,3892,166.68,,,,,
12/14/2021 06:00,166.68,166.81,166.68,166.81,325,166.81,,,,,
12/14/2021 07:00,166.75,166.75,166.72,166.75,50299,166.75,,,,,
12/14/2021 08:00,166.69,166.69,166.6,166.6,1510,166.6,,,,,
12/14/2021 09:00,166.67,166.92,165.52,165.57,148066,165.57,,,,,
12/14/2021 10:00,165.53,166.14,165.07,165.92,1765656,165.92,,,,,
12/14/2021 11:00,165.93,165.99,165.46,165.75,1828284,165.75,,,,,
12/14/2021 12:00,165.75,165.97,165.545,165.69,1065576,165.69,,,,,
12/14/2021 13:00,165.7,165.77,165.54,165.61,576113,165.61,,,,,
12/14/2021 14:00,165.6,165.66,165.4585,165.485,579907,165.485,,,,,
12/14/2021 15:00,165.49,165.67,165.46,165.57,598777,165.57,,,,,
12/14/2021 16:00,165.57,165.605,165.385,165.45,1476548,165.45,,,,,
12/14/2021 17:00,165.46,165.48,165.41,165.41,35471,165.41,,,,,
12/14/2021 18:00,165.55,165.55,165.5,165.5,800,165.5,,,,,
12/14/2021 19:00,165.51,165.59,165.51,165.59,4300,165.59,,,,,
12/14/2021 20:00,165.7,165.7,165.63,165.63,1406,165.63,,,,,
12/15/2021 05:00,165.22,165.43,165.22,165.43,1618,165.43,,,,,
12/15/2021 06:00,165.2,165.22,165.19,165.21,27700,165.21,,,,,
12/15/2021 07:00,165.21,165.3,165.18,165.3,147423,165.3,,,,,
12/15/2021 08:00,165.43,165.53,165.33,165.46,6673,165.46,,,,,
12/15/2021 09:00,165.41,165.6,165.35,165.39,11831,165.39,,,,,
12/15/2021 10:00,165.59,165.59,164.82,165.32,1586146,165.32,,,,,
12/15/2021 11:00,165.32,165.39,164.84,164.9988,1072155,164.9988,,,,,
12/15/2021 12:00,164.99,165.21,164.965,165.1601,630328,165.1601,,,,,
12/15/2021 13:00,165.16,165.165,164.94,164.957,495023,164.957,,,,,
12/15/2021 14:00,164.95,164.9929,164.44,164.695,1505180,164.695,,,,,
12/15/2021 15:00,164.67,165.43,163.8,165.3239,3677086,165.3239,,,,,
12/15/2021 16:00,165.32,166.4,165.215,166.15,4542448,166.15,,,,,
12/15/2021 17:00,166.16,166.21,165.99,166.03,234447,166.03,,,,,
12/15/2021 18:00,166,166.12,165.79,166.12,4497,166.12,,,,,
12/15/2021 19:00,166.18,166.36,166.18,166.36,1001,166.36,,,,,
12/15/2021 20:00,166.28,166.36,166.1,166.15,12466,166.15,,,,,
12/16/2021 05:00,166.91,166.95,166.76,166.91,14759,166.91,,,,,
12/16/2021 06:00,166.87,166.97,166.86,166.97,1288,166.97,,,,,
12/16/2021 07:00,167.02,167.02,166.85,166.99,2813,166.99,,,,,
12/16/2021 08:00,166.92,167,166.52,166.65,39836,166.65,,,,,
12/16/2021 09:00,166.535,167.2499,166.535,167.15,36953,167.15,,,,,
12/16/2021 10:00,167.17,167.75,166.94,167.59,1783195,167.59,,,,,
12/16/2021 11:00,167.598,168.01,167.55,167.94,2468743,167.94,,,,,
12/16/2021 12:00,167.94,168.08,167.73,168.05,1078892,168.05,,,,,
12/16/2021 13:00,168.06,168.12,167.84,167.94,1201045,167.94,,,,,
12/16/2021 14:00,167.92,168.025,167.73,167.84,1099073,167.84,,,,,
12/16/2021 15:00,167.83,167.925,167.705,167.91,538363,167.91,,,,,
12/16/2021 16:00,167.905,168.18,167.89,168.17,2228913,168.17,,,,,
12/16/2021 17:00,168.14,168.16,168.01,168.15,91386,168.15,,,,,
12/16/2021 18:00,168.18,168.2,168.18,168.2,600,168.2,,,,,
12/16/2021 19:00,168.22,168.24,168.04,168.06,2417,168.06,,,,,
12/16/2021 20:00,168.07,168.08,167.95,168,7265,168,,,,,
12/17/2021 05:00,168.89,169,168.76,168.76,4880,168.76,,,,,
12/17/2021 06:00,168.83,168.91,168.83,168.89,1377,168.89,,,,,
12/17/2021 07:00,168.9,169.1,168.9,169.01,127437,169.01,,,,,
12/17/2021 08:00,169.01,169.34,168.98,169.31,17829,169.31,,,,,
12/17/2021 09:00,169.01,169.49,168.68,168.8,45863,168.8,,,,,
12/17/2021 10:00,168.8,168.99,168.58,168.85,1266827,168.85,,,,,
12/17/2021 11:00,168.85,169.125,168.5672,168.6,1916758,168.6,,,,,
12/17/2021 12:00,168.5993,168.79,168.39,168.7459,796784,168.7459,,,,,
12/17/2021 13:00,168.74,168.74,168.5,168.625,633247,168.625,,,,,
12/17/2021 14:00,168.62,168.6381,168.17,168.37,999589,168.37,,,,,
12/17/2021 15:00,168.37,168.465,168.23,168.335,623853,168.335,,,,,
12/17/2021 16:00,168.33,168.34,167.78,167.8,2391642,167.8,,,,,
12/17/2021 17:00,167.79,168.04,167.77,168.02,117977,168.02,,,,,
12/17/2021 18:00,167.8,168.11,167.75,167.75,82997,167.75,,,,,
12/17/2021 19:00,167.74,167.8,167.5,167.5,9236,167.5,,,,,
12/17/2021 20:00,167.5,167.7,167.31,167.7,1154,167.7,,,,,
12/20/2021 05:00,168.29,168.37,168.2,168.2,28633,168.2,,,,,
12/20/2021 06:00,168.09,168.09,167.95,167.96,2580,167.96,,,,,
12/20/2021 07:00,167.85,167.97,167.71,167.71,7484,167.71,,,,,
12/20/2021 08:00,167.81,168.09,167.81,167.96,13486,167.96,,,,,
12/20/2021 09:00,167.83,168.15,167.7,167.82,21380,167.82,,,,,
12/20/2021 10:00,167.9,168,167.39,167.41,750752,167.41,,,,,
12/20/2021 11:00,167.42,167.97,167.41,167.58,1137890,167.58,,,,,
12/20/2021 12:00,167.58,167.8091,167.53,167.78,810349,167.78,,,,,
12/20/2021 13:00,167.795,167.8,167.54,167.69,568541,167.69,,,,,
12/20/2021 14:00,167.69,167.74,167.52,167.53,446801,167.53,,,,,
12/20/2021 15:00,167.545,167.545,167.27,167.28,577401,167.28,,,,,
12/20/2021 16:00,167.27,167.39,167.06,167.08,2124195,167.08,,,,,
12/20/2021 17:00,167.07,167.27,167.07,167.27,12621,167.27,,,,,
12/20/2021 19:00,167.34,167.38,167.34,167.38,1718,167.38,,,,,
12/20/2021 20:00,167.39,167.39,167.26,167.28,4312,167.28,,,,,
12/21/2021 05:00,167.86,167.97,167.86,167.97,1198,167.97,,,,,
12/21/2021 06:00,167.91,167.91,167.91,167.91,300,167.91,,,,,
12/21/2021 07:00,167.85,167.9,167.85,167.9,400,167.9,,,,,
12/21/2021 08:00,167.94,168,167.84,168,7403,168,,,,,
12/21/2021 09:00,167.96,168.25,167.8,167.88,14628,167.88,,,,,
12/21/2021 10:00,167.92,167.99,167.41,167.42,650047,167.42,,,,,
12/21/2021 11:00,167.41,167.56,166.74,166.82,1199599,166.82,,,,,
12/21/2021 12:00,166.85,167.07,166.77,167.0579,391067,167.0579,,,,,
12/21/2021 13:00,167.06,167.11,166.88,166.975,408001,166.975,,,,,
